frame,timestamp_sec,model,label,class_id,confidence,x1,y1,x2,y2,center_x,center_y,bbox_width,bbox_height,image_width,image_height
14,0.467,CRACK,crack,0,0.301886,5,0,655,885,330.71,442.7,650,885,1920,1080
14,0.467,ROAD,Alligator Crack,2,0.702962,1035,286,1920,1050,1477.62,668.39,884,764,1920,1080
14,0.467,ROAD,Alligator Crack,2,0.447713,221,194,880,1077,551.31,635.87,658,882,1920,1080
14,0.467,ROAD,Potholes,3,0.315103,1128,1005,1284,1078,1206.35,1041.86,156,73,1920,1080
15,0.5,CRACK,crack,0,0.811143,1655,587,1919,713,1787.4,650.58,263,125,1920,1080
15,0.5,CRACK,crack,0,0.697714,40,237,881,1080,461.1,658.57,840,842,1920,1080
15,0.5,CRACK,crack,0,0.418483,1363,0,1576,590,1470.26,295.3,213,590,1920,1080
15,0.5,CRACK,crack,0,0.391337,779,321,1303,1080,1041.47,700.63,524,758,1920,1080
15,0.5,CRACK,crack,0,0.379158,1131,0,1229,524,1180.66,262.29,97,523,1920,1080
15,0.5,CRACK,crack,0,0.363416,542,0,1459,1005,1001.17,502.61,916,1005,1920,1080
15,0.5,CRACK,crack,0,0.359066,16,0,66,347,41.55,173.51,49,347,1920,1080
15,0.5,CRACK,crack,0,0.354997,1296,469,1727,1080,1512.03,774.54,430,610,1920,1080
15,0.5,ROAD,Alligator Crack,2,0.711882,1081,410,1920,1049,1500.63,729.98,838,639,1920,1080
15,0.5,ROAD,Alligator Crack,2,0.393416,222,184,879,1073,550.88,629.07,656,888,1920,1080
15,0.5,ROAD,Potholes,3,0.355358,1133,1003,1287,1077,1210.19,1040.65,154,74,1920,1080
16,0.533,CRACK,crack,0,0.797537,1653,584,1919,711,1786.2,647.83,265,126,1920,1080
16,0.533,CRACK,crack,0,0.735171,38,241,875,1080,457.33,660.92,837,838,1920,1080
16,0.533,CRACK,crack,0,0.525519,1589,725,1725,1080,1657.19,902.61,136,354,1920,1080
16,0.533,CRACK,crack,0,0.506079,1368,0,1575,584,1472.33,292.03,207,584,1920,1080
16,0.533,CRACK,crack,0,0.437077,1478,183,1569,585,1524.04,384.47,90,402,1920,1080
16,0.533,CRACK,crack,0,0.388134,2,0,64,355,33.96,177.67,62,355,1920,1080
16,0.533,CRACK,crack,0,0.365163,0,0,953,702,476.52,351.09,953,702,1920,1080
16,0.533,CRACK,crack,0,0.351666,639,182,697,566,668.79,374.48,58,383,1920,1080
16,0.533,CRACK,crack,0,0.340365,1300,465,1728,1079,1514.81,772.44,427,613,1920,1080
16,0.533,CRACK,crack,0,0.340292,638,152,1443,1073,1041.22,612.54,805,920,1920,1080
16,0.533,CRACK,crack,0,0.326374,1322,619,1415,704,1369.35,661.87,93,84,1920,1080
16,0.533,ROAD,Alligator Crack,2,0.691697,1088,455,1920,1049,1504.25,752.21,831,593,1920,1080
17,0.567,CRACK,crack,0,0.750465,0,0,630,362,315.14,181.45,630,362,1920,1080
17,0.567,CRACK,crack,0,0.750418,1650,579,1919,707,1785.09,643.52,268,127,1920,1080
17,0.567,CRACK,crack,0,0.701953,36,217,878,1080,457.54,648.66,841,862,1920,1080
17,0.567,CRACK,crack,0,0.534259,1477,180,1567,581,1522.72,380.91,89,400,1920,1080
17,0.567,CRACK,crack,0,0.477646,3,0,62,351,33.19,175.79,58,351,1920,1080
17,0.567,CRACK,crack,0,0.442345,1366,0,1575,579,1470.91,289.8,209,579,1920,1080
17,0.567,CRACK,crack,0,0.434403,635,162,1426,1077,1030.99,620.3,791,915,1920,1080
17,0.567,CRACK,crack,0,0.418267,637,182,695,562,666.77,372.63,58,379,1920,1080
17,0.567,CRACK,crack,0,0.397323,1298,449,1729,1080,1513.78,764.96,431,630,1920,1080
17,0.567,CRACK,crack,0,0.393225,1102,0,1229,512,1165.86,256.47,126,512,1920,1080
17,0.567,CRACK,crack,0,0.368488,1591,727,1725,1080,1658.24,903.8,134,352,1920,1080
17,0.567,ROAD,Alligator Crack,2,0.639502,1109,463,1919,1046,1514.49,754.94,810,583,1920,1080
17,0.567,ROAD,Potholes,3,0.336327,1136,995,1286,1078,1211.32,1036.57,149,83,1920,1080
18,0.6,CRACK,crack,0,0.79873,1647,575,1919,704,1783.49,639.94,271,129,1920,1080
18,0.6,CRACK,crack,0,0.784874,31,207,863,1080,447.23,643.71,832,872,1920,1080
18,0.6,CRACK,crack,0,0.721697,635,176,696,559,665.99,367.99,60,382,1920,1080
18,0.6,CRACK,crack,0,0.573324,1368,0,1569,575,1468.99,287.59,201,575,1920,1080
18,0.6,CRACK,crack,0,0.522228,0,0,626,374,313.16,187.42,626,374,1920,1080
18,0.6,CRACK,crack,0,0.50438,493,0,1432,1021,962.86,510.95,938,1021,1920,1080
18,0.6,CRACK,crack,0,0.362855,11,0,60,338,36.12,169.28,48,338,1920,1080
18,0.6,CRACK,crack,0,0.334079,1281,447,1727,1080,1504.81,763.79,445,632,1920,1080
18,0.6,ROAD,Alligator Crack,2,0.643231,1048,203,1920,1041,1484.39,622.65,871,837,1920,1080
19,0.633,CRACK,crack,0,0.838058,1647,571,1919,700,1783.14,636.11,272,128,1920,1080
19,0.633,CRACK,crack,0,0.795741,26,221,853,1080,440.25,650.89,827,858,1920,1080
19,0.633,CRACK,crack,0,0.599394,1475,175,1563,577,1519.26,376.48,88,401,1920,1080
19,0.633,CRACK,crack,0,0.485794,0,0,633,371,316.51,185.53,633,371,1920,1080
19,0.633,CRACK,crack,0,0.480843,1368,0,1569,569,1469.12,284.8,200,569,1920,1080
19,0.633,CRACK,crack,0,0.454968,4,0,55,345,30.14,172.81,51,345,1920,1080
19,0.633,CRACK,crack,0,0.399585,467,65,1428,1024,948.03,545.01,960,958,1920,1080
19,0.633,CRACK,crack,0,0.353289,1288,412,1724,1080,1506.58,746.39,436,667,1920,1080
19,0.633,CRACK,crack,0,0.31277,1320,607,1412,694,1366.59,650.96,92,86,1920,1080
19,0.633,CRACK,crack,0,0.305035,633,173,694,551,664.02,362.51,61,378,1920,1080
19,0.633,ROAD,Alligator Crack,2,0.589461,1007,364,1920,1039,1463.57,702.11,912,674,1920,1080
20,0.667,CRACK,crack,0,0.818222,1645,566,1919,699,1782.23,632.9,273,133,1920,1080
20,0.667,CRACK,crack,0,0.77793,25,238,860,1080,443.45,659.25,834,841,1920,1080
20,0.667,CRACK,crack,0,0.577233,4,0,54,344,29.53,172.09,50,344,1920,1080
20,0.667,CRACK,crack,0,0.516319,1474,166,1563,572,1518.77,369.48,88,406,1920,1080
20,0.667,CRACK,crack,0,0.399789,698,630,1286,1080,992.73,855.25,587,449,1920,1080
20,0.667,CRACK,crack,0,0.379052,0,0,620,367,310.28,183.99,620,367,1920,1080
20,0.667,CRACK,crack,0,0.365199,1365,0,1571,563,1468.86,281.61,206,563,1920,1080
20,0.667,CRACK,crack,0,0.344958,1596,720,1720,1080,1658.69,900.03,124,359,1920,1080
20,0.667,ROAD,Alligator Crack,2,0.624337,1029,450,1920,1047,1474.68,748.94,890,596,1920,1080
20,0.667,ROAD,Potholes,3,0.433314,1130,983,1279,1078,1205.03,1030.92,149,94,1920,1080
21,0.7,CRACK,crack,0,0.809062,1643,563,1919,695,1781.46,629.08,275,132,1920,1080
21,0.7,CRACK,crack,0,0.774296,23,328,823,1080,423.56,704.19,799,751,1920,1080
21,0.7,CRACK,crack,0,0.710403,6,0,619,352,313.24,176.06,612,352,1920,1080
21,0.7,CRACK,crack,0,0.647002,1601,714,1718,1080,1659.79,897.5,117,365,1920,1080
21,0.7,CRACK,crack,0,0.587095,221,160,1199,1080,710.86,620.44,977,919,1920,1080
21,0.7,CRACK,crack,0,0.432915,1366,0,1562,560,1464.53,280.17,196,560,1920,1080
21,0.7,CRACK,crack,0,0.383545,2,0,51,342,27.14,171.31,48,342,1920,1080
21,0.7,CRACK,crack,0,0.37071,1130,1,1223,472,1176.9,236.93,93,470,1920,1080
21,0.7,CRACK,crack,0,0.336915,0,0,994,703,497.45,351.54,994,703,1920,1080
21,0.7,ROAD,Alligator Crack,2,0.673257,1019,434,1920,1048,1469.72,741.6,900,614,1920,1080
21,0.7,ROAD,Alligator Crack,2,0.524025,178,167,861,1080,519.92,623.61,682,912,1920,1080
21,0.7,ROAD,Transverse Crack,1,0.300689,798,974,1271,1080,1034.99,1027.27,472,105,1920,1080
22,0.733,CRACK,crack,0,0.787879,1641,559,1919,690,1780.15,624.77,278,131,1920,1080
22,0.733,CRACK,crack,0,0.775301,26,236,869,1080,448.17,658.24,842,843,1920,1080
22,0.733,CRACK,crack,0,0.639016,626,163,688,544,657.1,353.86,62,380,1920,1080
22,0.733,CRACK,crack,0,0.602786,0,0,622,355,311.32,177.72,622,355,1920,1080
22,0.733,CRACK,crack,0,0.481787,1588,703,1717,1079,1652.94,891.53,129,376,1920,1080
22,0.733,CRACK,crack,0,0.464307,1372,0,1560,559,1466.85,279.75,187,559,1920,1080
22,0.733,CRACK,crack,0,0.415425,2,0,47,330,25.13,165.09,45,330,1920,1080
22,0.733,CRACK,crack,0,0.383037,1273,540,1423,680,1348.42,610.85,149,140,1920,1080
22,0.733,CRACK,crack,0,0.363502,1471,160,1554,564,1512.91,362.73,83,404,1920,1080
22,0.733,ROAD,Alligator Crack,2,0.767976,1081,431,1920,1046,1500.86,739.16,838,614,1920,1080
